categories,code,hs_code,type,keywords,description,
Air Conditioner,,8415,startwith,"dieu hoa,may dieu hoa khong khi,dieu hoa khong khi,may dieu hoa,may dhkk, dieu hoa dat san,&may dieu hoa khong khi",,
Air Conditioner,,8415,,"#&may dieu hoa,#&dieu hoa",,
Fridge,,8418,startwith,"tu lanh, may lam lanh,tu mat, quay lanh, tu trung bay thuc pham",,
Fridge,,8418,,#&tu lanh,,
Television,A-08-N001,852872,,"ti vi,tivi,tv, smart tivi,android tivi, android ti vi, smart ti vi, cum linh kien dong bo thao roi lap rap tivi",,
Television,A-08-N001,8528,startwith,"ti vi,tivi,tv, smart tivi,android tivi, android ti vi, smart ti vi, cum linh kien dong bo thao roi lap rap tivi",,
Television,A-08-N001,8528,,#&tivi,,
Phone & Tablet,A-05-N001,"84713020,84713090,84714190",,"dien thoai di dong, smartphone, may tinh bang, dien thoai,may tinh bang",,
Phone & Tablet,A-05-N001,"85171200,85171100",,,,
Laptop,A-01-N001,84713020,,,Máy tính xách tay kể cả notebook và subnotebook,
Laptop,A-01-N001,84714190,,may tinh xach tay,,
Disk Drive,A-02-N005,84717020,,,Ổ đĩa cứng,
Disk Drive,A-02-N005,847170,,"o cung, o dia cung, o dia  cung, o  cung, dia cung, flash storage, o luu tru ssd, o dia ssd,#&hop luu tru du lieu",,
Disk Drive,A-02-N005,"84715010,8471705",,"o cung vi tinh,hop luu tru du lieu,bo luu tru dung cho may tinh,bo nho trong",,
Laptop Accessories,A-01-N002,8473,,"pin laptop,de sac may tinh xach tay, cuc sac may tinh xach tay, ram laptop, ram may tinh xach tay,o quang may tinh xach tay,o cung laptop,o cung may tinh xach tay",,
Laptop Accessories,A-01-N002,8473,,"pin laptop,de sac may tinh xach tay, cuc sac may tinh xach tay, ram laptop, ram may tinh xach tay,o quang may tinh xach tay,o cung laptop,o cung may tinh xach tay",,
Laptop Accessories,A-01-N002,84718090,,pin may tinh xach tay,,
Desktop PC,A-02-N001,"84714910,84714110",,,,
Desktop PC,A-02-N001,"847141,847149,847150,847130",,"may tinh de ban,may bo,may tram,may tinh ca nhan mac mini,hop may tinh intel nuc,may tinh de ban,cay may tinh,bo may tinh,may tinh dung de ban,may tinh desktop",,
Desktop PC,A-02-N001,847141,startwith,"may tinh dell,may tinh dong bo,may tinh hp,may tinh lap rap,may tinh mini,may tinh tram,may vi tinh,may tinh ban",,
Industry PC,,84714990,,#&may tinh cong nghiep,,
Mainboard,A-02-N002,"84733010,84733010",,"mainbroad,bang mach chinh, bo mach may tinh,bang mach in asrock","Bộ phận và phụ kiện (trừ vỏ, hộp đựng và các loại tương tự) chỉ dùng hoặc chủ yếu dùng với các máy thuộc các nhóm từ 84.70 đến 84.72.- Bộ phận và phụ kiện của máy thuộc nhóm 84.71:- - Tấm mạch in đã lắp ráp",
CPU,A-02-N003,"84715010,84718090",,"bo vi xu ly,chip vi xu ly, chip may tinh,#&chip",Bộ xử lý dùng cho máy tính cá nhân (kể cả loại máy xách tay),
CPU,A-02-N003,84733090,startwith,"bo vi xu ly, chip vi xu ly,con chip may tinh,mach chinh cua may vi tinh","bộ phận và phụ kiện (trừ vỏ, hộp đựng và các loại tương tự) chỉ dùng hoặc chủ yếu dùng với các máy thuộc các nhóm từ 84.70 đến 84.72.- Bộ phận và phụ kiện của máy thuộc nhóm 84.71:- - Loại khác",
CPU,A-02-N003,847150,startwith,"bo xu li trung tam,bo xu ly du lieu may tinh,cpu may tinh,ro-a-40#&bo xu ly trung tam,bo xu ly trung tam may tinh,tb105#&bo xu ly trung tam may tinh,cpu",,x
RAM,A-02-N004,"84733010,84717099,84717050,84718090,84733090",,"ram,bo nho trong cho may tinh,bo nho trong",,
RAM,A-02-N004,84733010,,"bo nho cua may vi tinh, bo nho may tinh,bo nho ram, bo nho trong",,
Graphics card,A-02-N008,"847180,84733090",,"card man hinh may tinh, card man hinh, card do hoa, card vga, card man hinh cua may vi tinh,cac man hinh,card mang may tinh,car man hinh,cac man hinh may tinh,cac do hoa, cac vga",Card âm thanh hoặc card hình ảnh,
Case,A-02-N009,"84733090,84735010",,"vo case may tinh,vo cay may tinh",,
PSU,A-02-N010,"84733090,8471909",startwith,"bo nguon may tinh, nguon may tinh",,
Sound card,A-02-N012,847180,,"card am thanh,cac hinh anh,card hinh anh,cac am thanh",Card âm thanh hoặc card hình ảnh,
Network card,,84718090,,"yhtb337#&card mang,card mang",,
Network card,,"84718090,84718070",,"cac mang,cc-10#&cac mang",,
Mouse,A-03-N004,84716040,,"chuot may tinh, chuot vi tinh,chuot,#&chuot",,
Monitor,A-03-N001,8528,startwith,man hinh,,
Monitor,A-03-N001,8528,,"man hinh da chuc nang, man hinh tinh the long, man hinh hien thi",,
Monitor,A-03-N001,"85285200,85284910,85284920,85284200",,"man hinh, man hinh may tinh",,
Monitor,A-03-N001,,,linh kien may tinh: man hinh,,
Keyboard &Mouse,A-03-N002,81716090,,"bo ban phim chuot,ban phim va chuot",,
Keyboard,A-03-N002,"85176299,84716030,84716040",,"ban phim khong day,ban phim, ban phim vi tinh, ban phim may tinh",,
Keyboard,A-03-N002,84716030,,,,
Headphone,A-03-N005,851830,,tai nghe,,
Webcam,A-04-N006,85258010,,,webcam,
Printer,A-04-N007,"84431100,84431200,84431300,84431400,84431500,84431600,84431700,84431900",,,,
Printer,A-04-N007,"844331,844339",,,,
Scanner,A-04-N008,847190,,may scan,,
Scanner,A-04-N008,847190,startwith,may quet hinh anh,,
Scanner,A-04-N008,84719090,,"quet hinh anh,tai lieu",,
Printing ink,A-04-N010,84439920,,,Hộp mực in đã có mực in,
Printer Component Part,,8443,,,,
Landline Telephone,A-04-N013,"85171100,85171800",startwith,"dien thoai ban,dien thoai co dinh",,
Paper Shredder,A-04-N017,84734010,,may huy giay,,
Press Machine,A-04-N018,84224000,,may ep,,
Barcode Reader,A-04-N019,"847190,847141",,"may doc ma vach,may quet the tu,dau doc ma vach, thiet bi doc ma vach,may quet ma vach, thiet bi doc the,thiet bi doc nhan dang van tay,may doc ma san pham,may doc quet tem dien tu,may nhan dang van tay va the",,
Drum,A-04-N022,84439990,,drum,,
Security devices,A-04-N027,85258059,,"camera ip,camera quan sat",,
USB Flash,A-06-N002,847170,,"bo nho ngoai usb,usb 8g,usb 16g,usb 32,usb 64g, o dia usb, usb kingston, usb sandisk,o luu usb, bo luu tru du lieu usb,sp01-245#&o luu  usb, thiet bi luu tru du lieu",,
SDcard,A-06-N003,84717050,,"the nho, sd card,sdcard,card sd,sd card",,
SDcard,A-06-N003,84718070,,sd card,,
Radiators,A-06-N004,8473,,"quat tan nhiet, tan nhiet nuoc",,
Server,A-04-N002,847249,,"may tinh chu, may chu server, bo xu ly may chu",,
Server,A-04-N002,8471,startwith,"may tinh chu,may chu,.#&may chu",,
Attendance Recorder,A-04-N014,,startwith,may cham cong,,
Software,A-04-N001,,startwith,"usb chua phan mem, dia chia phan mem, bo phan mem, goi phan mem, phan mem thiet bi, ban quyen su dung phan mem, phan mem microsoft, day so kich hoat phan mem",,
